x,y,z,phenotype,oxygen,C,b,d,sim_time
-9,0,-2,surface,1.0,0.0,0.63,0.0,40
-9,-2,-2,surface,1.0,0.0,0.77,0.0,40
-1,-12,9,surface,1.0,0.0,0.63,0.0,40
-7,-1,-6,surface,1.0,0.0,0.77,0.0,40
-16,-1,-7,surface,1.0,0.0,0.63,0.0,40
2,-7,9,surface,1.0,0.0,0.77,0.0,40
-9,-1,-3,surface,1.0,0.0,0.63,0.0,40
-7,-17,4,surface,0.996909,0.003091,0.627836,0.000927,40
-1,-13,10,surface,1.0,0.0,0.63,0.0,40
-13,-1,-11,surface,1.0,0.0,0.77,0.0,40
-9,13,-8,surface,1.0,0.0,0.63,0.0,40
-15,0,-10,surface,1.0,0.0,0.63,0.0,40
4,-3,10,surface,1.0,0.0,0.77,0.0,40
3,-7,10,surface,1.0,0.0,0.77,0.0,40
0,-11,9,surface,1.0,0.0,0.63,0.0,40
-6,-1,-7,surface,1.0,0.0,0.63,0.0,40
-3,13,11,surface,0.993811,0.006189,0.765667,0.001857,40
-16,0,-6,surface,1.0,0.0,0.77,0.0,40
1,-8,9,surface,1.0,0.0,0.63,0.0,40
0,-12,10,surface,1.0,0.0,0.77,0.0,40
-7,-6,14,surface,0.996885,0.003115,0.62782,0.000934,40
-15,1,-11,surface,1.0,0.0,0.77,0.0,40
3,-4,10,surface,1.0,0.0,0.77,0.0,40
2,-8,10,surface,1.0,0.0,0.77,0.0,40
5,-1,8,surface,1.0,0.0,0.63,0.0,40
4,-6,8,surface,1.0,0.0,0.63,0.0,40
-17,-3,-6,surface,1.0,0.0,0.63,0.0,40
-16,-1,-10,surface,1.0,0.0,0.63,0.0,40
3,14,12,surface,1.0,0.0,0.63,0.0,40
12,-5,-7,surface,0.996889,0.003111,0.767822,0.000933,40
10,-11,-1,surface,0.999876,0.000124,0.629913,3.7e-05,40
12,15,4,surface,1.0,0.0,0.77,0.0,40
-13,4,8,surface,1.0,0.0,0.77,0.0,40
7,-15,0,surface,1.0,0.0,0.77,0.0,40
5,-8,8,surface,1.0,0.0,0.63,0.0,40
6,-8,9,surface,1.0,0.0,0.77,0.0,40
-1,-14,11,surface,1.0,0.0,0.77,0.0,40
-17,-4,-5,surface,1.0,0.0,0.63,0.0,40
-12,-2,-11,surface,1.0,0.0,0.63,0.0,40
-14,-2,-11,surface,1.0,0.0,0.77,0.0,40
-16,0,-11,surface,1.0,0.0,0.77,0.0,40
-4,-11,10,surface,1.0,0.0,0.63,0.0,40
5,-3,11,surface,1.0,0.0,0.77,0.0,40
4,-7,11,surface,1.0,0.0,0.77,0.0,40
14,7,-11,surface,1.0,0.0,0.63,0.0,40
-7,-10,-11,surface,0.996909,0.003091,0.767836,0.000927,40
-2,0,12,surface,1.0,0.0,0.77,0.0,40
9,6,9,surface,1.0,0.0,0.77,0.0,40
-14,-2,-9,surface,1.0,0.0,0.63,0.0,40
4,1,11,surface,1.0,0.0,0.63,0.0,40
3,-5,11,surface,1.0,0.0,0.63,0.0,40
