alpha,beta,gamma,n_a,n_ok,n_capped,n_timeout,timeout_frac,timeout_warning,mean_fitness,std_fitness,mean_mei,std_mei,mean_ncf,std_ncf,mean_dissipation,std_dissipation,pareto_front
0.3,0.4,-0.1,200,100,0,0,0.0,False,0.05965282,0.11476177,0.23023868,0.48468721,0.15040776,0.28489968,2.31827802,2.07263104,True
0.3,0.4,-0.1,500,100,0,0,0.0,False,0.05965282,0.11476177,0.23023868,0.48468721,0.15040776,0.28489968,2.31827802,2.07263104,True
0.3,0.4,-0.1,1000,100,0,0,0.0,False,0.05965282,0.11476177,0.23023868,0.48468721,0.15040776,0.28489968,2.31827802,2.07263104,True
0.3,0.4,0.0,200,100,0,0,0.0,False,0.0689384,0.13072759,0.25579294,0.48095519,0.18354158,0.31124927,2.44937252,2.05677985,True
0.3,0.4,0.0,500,100,0,0,0.0,False,0.0689384,0.13072759,0.25579294,0.48095519,0.18354158,0.31124927,2.44937252,2.05677985,True
0.3,0.4,0.0,1000,100,0,0,0.0,False,0.0689384,0.13072759,0.25579294,0.48095519,0.18354158,0.31124927,2.44937252,2.05677985,True
0.3,0.4,0.1,200,100,0,0,0.0,False,0.08697995,0.15421169,0.24159697,0.55291557,0.1654938,0.31064315,2.55344002,2.32432414,True
0.3,0.4,0.1,500,100,0,0,0.0,False,0.08697995,0.15421169,0.24159697,0.55291557,0.1654938,0.31064315,2.55344002,2.32432414,True
0.3,0.4,0.1,1000,100,0,0,0.0,False,0.08697995,0.15421169,0.24159697,0.55291557,0.1654938,0.31064315,2.55344002,2.32432414,True
0.3,0.5,-0.1,200,100,0,0,0.0,False,0.21950544,0.24725882,0.17887206,0.21400579,0.1035892,0.1817531,8.58116635,10.4908644,True
0.3,0.5,-0.1,500,100,0,0,0.0,False,0.18586397,0.19482319,0.18679365,0.21494239,0.11222525,0.18215978,7.71773032,7.87491169,False
0.3,0.5,-0.1,1000,100,0,0,0.0,False,0.18586397,0.19482319,0.18679365,0.21494239,0.11222525,0.18215978,7.71773032,7.87491169,False
0.3,0.5,0.0,200,100,0,0,0.0,False,0.2150479,0.23941778,0.15908504,0.25538324,0.07976185,0.12994561,7.55764584,8.38743151,True
0.3,0.5,0.0,500,100,0,0,0.0,False,0.19478338,0.20808517,0.16513813,0.25611736,0.08425643,0.13100587,7.24242422,7.39024005,True
0.3,0.5,0.0,1000,100,0,0,0.0,False,0.19478338,0.20808517,0.16513813,0.25611736,0.08425643,0.13100587,7.24242422,7.39024005,True
0.3,0.5,0.1,200,100,0,0,0.0,False,0.23137534,0.24465401,0.17969426,0.2726929,0.10141975,0.17767852,11.72416095,26.24900878,True
0.3,0.5,0.1,500,100,0,0,0.0,False,0.20126755,0.20584034,0.18055347,0.25992165,0.11095577,0.17779793,8.43500931,8.43085621,False
0.3,0.5,0.1,1000,100,0,0,0.0,False,0.20126755,0.20584034,0.18055347,0.25992165,0.11095577,0.17779793,8.43500931,8.43085621,False
0.3,0.6,-0.1,200,100,4,0,0.0,False,0.49480557,0.42280629,0.14306619,0.18438585,0.01112063,0.02780849,145.15027814,181.32661173,True
