alpha,beta,gamma,n_a,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.4,0.5,-0.1,1000,52,52,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.7,0.6,0.0,500,94,94,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.6,0.6,0.0,200,90,90,ok,67,2,69,32,124.8842,0.40643706,0.46376812,0.02898551,9.75113559
0.4,0.5,0.1,1000,82,82,ok,74,8,82,28,191.8311,0.30137195,0.34146341,0.09756098,10.69443024
0.5,0.6,0.1,200,11,11,ok,0,0,0,0,0.6114,0.0,0.0,0.0,1.0
0.7,0.7,0.1,1000,79,79,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.7,0.6,-0.1,1000,49,49,ok,70,0,70,34,146.1366,0.35746561,0.48571429,0.0,9.7112452
0.7,0.8,-0.1,500,64,64,ok,0,0,0,0,1.2242,0.0,0.0,0.0,1.0
0.7,0.6,0.1,500,59,59,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.4,0.4,0.1,200,31,31,ok,0,0,0,0,0.9109,0.0,0.0,0.0,1.0
0.4,0.6,0.1,500,99,99,ok,934,66,1000,150,969.1508,0.38549214,0.15,0.066,47.17688974
0.6,0.5,-0.1,1000,42,42,ok,0,0,0,0,1.2047,0.0,0.0,0.0,1.0
0.5,0.7,0.0,1000,20,20,ok,534,13,547,128,524.2128,0.44678525,0.23400366,0.023766,32.51743583
0.5,0.4,0.0,200,24,24,ok,0,0,0,0,2.1997,0.0,0.0,0.0,1.0
0.7,0.5,-0.1,1000,59,59,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.3,0.4,0.0,200,28,28,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.4,0.5,0.0,200,46,46,ok,0,0,0,0,2.2274,0.0,0.0,0.0,1.0
0.5,0.7,0.1,500,32,32,ok,13215,21,13236,2615,1215.8114,0.40034198,0.19756724,0.00158658,258.28578483
0.7,0.4,-0.1,1000,50,50,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.4,0.5,-0.1,1000,50,50,ok,0,0,0,0,1.3116,0.0,0.0,0.0,1.0
0.6,0.8,0.0,1000,75,75,ok,24450,34,24484,2014,2303.5467,0.50208455,0.0822578,0.00138866,351.66507222
0.3,0.5,-0.1,500,1,1,ok,125,23,148,44,292.7686,0.29649888,0.2972973,0.15540541,16.13947161
0.6,0.6,-0.1,500,10,10,ok,104,4,108,36,195.5306,0.39109274,0.33333333,0.03703704,12.06766099
0.4,0.8,0.1,500,79,79,ok,0,0,0,0,0.6114,0.0,0.0,0.0,1.0
0.5,0.4,0.1,500,71,71,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.3,0.4,0.0,200,21,21,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.4,0.4,0.1,500,2,2,ok,0,1,1,0,20.4026,0.0,0.0,1.0,2.0
0.6,0.7,-0.1,200,86,86,ok,37914,11,37925,2626,2006.9075,0.693021,0.06924192,0.00029005,464.6150209
0.6,0.8,0.0,1000,63,63,capped,57083,11,57094,2205,3831.4293,0.64636086,0.03862052,0.00019266,592.75488034
0.5,0.8,-0.1,500,89,89,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.4,0.8,0.0,1000,63,63,capped,56781,84,56865,791,3783.9599,1.6841424,0.01391014,0.00147718,577.84516088
0.7,0.5,0.1,1000,36,36,ok,13,0,13,9,57.5761,0.20714506,0.69230769,0.0,3.60066312
0.4,0.8,0.1,500,51,51,capped,59786,87,59873,1132,3643.4324,1.33191978,0.01890669,0.00145308,600.97991342
0.6,0.8,0.1,500,66,66,capped,59577,7,59584,1936,4066.9187,0.71950757,0.03249194,0.00011748,606.22203867
0.6,0.6,0.1,500,87,87,ok,43,0,43,13,91.226,0.41712974,0.30232558,0.0,6.15138348
0.4,0.8,0.0,200,53,53,capped,57001,40,57041,1564,3288.364,1.04171584,0.02741887,0.00070125,586.29698762
0.5,0.5,-0.1,200,34,34,ok,37,3,40,13,84.8159,0.38605239,0.325,0.075,6.41118925
0.3,0.6,0.0,200,73,73,capped,53793,96,53889,1811,3196.2939,0.88068047,0.03360612,0.00178144,568.50688484
0.4,0.8,0.0,200,6,6,capped,58160,19,58179,1151,2898.0314,1.60422029,0.01978377,0.00032658,589.43375028
0.6,0.7,0.1,500,0,0,ok,0,0,0,0,0.4615,0.0,0.0,0.0,1.0
0.6,0.8,-0.1,1000,74,74,ok,35303,19,35322,1929,2850.8802,0.61031017,0.05461186,0.00053791,437.15016711
0.5,0.6,0.0,200,5,5,ok,0,0,0,0,3.4116,0.0,0.0,0.0,1.0
0.6,0.6,0.0,500,17,17,ok,0,0,0,1,2.7171,0.0,0.0,0.0,1.0
0.5,0.7,0.1,1000,19,19,ok,2176,51,2227,366,1689.0103,0.27646533,0.16434665,0.02290076,78.16341775
0.6,0.6,-0.1,500,6,6,ok,4,1,5,5,56.6117,0.06729222,1.0,0.2,2.7006326
0.6,0.6,0.0,200,15,15,ok,30,1,31,26,96.9354,0.24562257,0.83870968,0.03225806,7.20803416
0.4,0.7,0.0,500,69,69,ok,0,0,0,0,2.8032,0.0,0.0,0.0,1.0
0.6,0.7,0.1,500,11,11,ok,0,0,0,0,0.913,0.0,0.0,0.0,1.0
0.4,0.8,0.0,1000,43,43,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.5,0.4,0.0,500,76,76,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.6,0.5,-0.1,500,88,88,ok,0,0,0,0,0.748,0.0,0.0,0.0,1.0
0.4,0.8,0.0,200,63,63,capped,54776,42,54818,1102,2811.3867,1.62093375,0.02010289,0.00076617,566.93461956
0.7,0.6,-0.1,1000,35,35,ok,0,0,0,0,0.7637,0.0,0.0,0.0,1.0
0.6,0.6,0.1,500,8,8,ok,415,6,421,163,703.644,0.22425357,0.3871734,0.01425178,30.41390522
0.7,0.6,0.1,200,83,83,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.3,0.7,0.0,500,93,93,ok,40409,57,40466,1427,2666.6925,0.99235285,0.03526417,0.00140859,470.25159312
0.5,0.5,0.1,1000,77,77,ok,0,0,0,1,4.3353,0.0,0.0,0.0,1.0
0.3,0.4,0.1,1000,20,20,ok,0,2,2,4,20.5791,0.0,2.0,1.0,6.0
0.4,0.5,0.0,1000,43,43,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.4,0.5,0.0,500,66,66,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.7,0.7,-0.1,500,97,97,ok,0,0,0,0,3.0425,0.0,0.0,0.0,1.0
0.4,0.7,0.0,1000,48,48,ok,16860,95,16955,1605,2038.1708,0.48516852,0.09466234,0.00560307,279.58437091
0.7,0.5,0.1,1000,25,25,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.7,0.5,0.1,1000,63,63,ok,18,0,18,5,48.8483,0.35094039,0.27777778,0.0,3.37736445
0.7,0.4,0.1,500,26,26,ok,0,0,0,0,1.0532,0.0,0.0,0.0,1.0
0.3,0.8,0.0,500,14,14,capped,56528,187,56715,586,3710.8268,2.22059227,0.01033236,0.00329719,575.83767759
0.5,0.8,0.1,1000,93,93,capped,56256,45,56301,1004,4130.1996,1.23375447,0.01783272,0.00079928,575.84869898
0.7,0.8,-0.1,200,30,30,capped,53641,68,53709,3387,3723.922,0.41308968,0.06306206,0.00126608,583.10544037
0.4,0.5,0.1,500,27,27,ok,20,5,25,8,68.5923,0.26997953,0.32,0.2,5.21182042
0.7,0.5,-0.1,1000,12,12,ok,0,0,0,0,4.7563,0.0,0.0,0.0,1.0
0.5,0.5,0.0,1000,50,50,ok,0,0,0,0,2.9624,0.0,0.0,0.0,1.0
0.4,0.8,-0.1,200,11,11,capped,54511,29,54540,1382,3170.057,1.16029621,0.0253392,0.00053172,567.78350667
0.5,0.6,-0.1,1000,81,81,ok,432,8,440,139,753.3795,0.2399231,0.31590909,0.01818182,29.82821533
0.7,0.8,0.0,200,99,99,capped,56331,24,56355,3614,3217.2576,0.47143272,0.06412918,0.00042587,602.20149643
0.6,0.4,0.1,200,60,60,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.5,0.6,0.1,1000,75,75,ok,205,1,206,52,205.9859,0.65474597,0.25242718,0.00485437,16.89304808
0.4,0.6,0.1,1000,18,18,ok,0,0,0,0,1.3451,0.0,0.0,0.0,1.0
0.7,0.8,-0.1,500,50,50,ok,10390,2,10392,2531,1115.5819,0.35399183,0.24355273,0.00019246,227.94048422
0.6,0.7,0.1,1000,4,4,ok,886,11,897,342,1170.704,0.17122389,0.3812709,0.0122631,50.04662839
0.7,0.7,0.1,1000,6,6,ok,400,2,402,122,496.2586,0.36307723,0.30348259,0.00497512,27.45905004
0.7,0.8,0.1,500,90,90,capped,50842,1,50843,3354,3561.4102,0.41331227,0.06596778,1.967e-05,563.00769014
0.7,0.4,-0.1,500,90,90,ok,0,0,0,0,2.3766,0.0,0.0,0.0,1.0
0.3,0.6,-0.1,500,74,74,ok,0,0,0,0,2.1331,0.0,0.0,0.0,1.0
0.5,0.4,0.0,500,64,64,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.7,0.5,0.1,200,44,44,ok,0,0,0,0,4.2128,0.0,0.0,0.0,1.0
0.5,0.6,0.1,500,90,90,ok,59,1,60,17,115.035,0.43836518,0.28333333,0.01666667,7.6953165
0.5,0.4,0.0,1000,92,92,ok,0,0,0,0,4.7331,0.0,0.0,0.0,1.0
0.6,0.4,0.1,200,43,43,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.4,0.8,0.0,500,94,94,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.3,0.6,0.1,500,76,76,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.5,0.4,-0.1,500,47,47,ok,0,0,0,0,2.2051,0.0,0.0,0.0,1.0
0.5,0.7,0.1,500,44,44,ok,9884,19,9903,2564,1087.5282,0.3411599,0.25891144,0.00191861,223.8444876
0.6,0.6,-0.1,500,64,64,ok,0,0,0,0,1.0697,0.0,0.0,0.0,1.0
0.5,0.6,0.1,500,70,70,ok,121,0,121,24,124.168,0.78587616,0.19834711,0.0,11.28185393
0.7,0.7,0.1,200,54,54,ok,134,0,134,33,110.9028,0.90847022,0.24626866,0.0,12.55902135
0.3,0.8,0.1,500,34,34,capped,58964,118,59082,536,3380.2926,2.74268247,0.00907214,0.00199722,590.24608997
0.6,0.7,0.0,200,78,78,ok,24901,2,24903,2874,1502.225,0.55736647,0.11540778,8.031e-05,366.08105462
0.4,0.7,-0.1,1000,8,8,ok,39859,100,39959,1490,2957.1097,0.84773838,0.03728822,0.00250257,467.73758947
0.5,0.8,0.0,500,93,93,capped,60455,33,60488,1107,3608.6143,1.3879841,0.01830115,0.00054556,604.18070084
0.7,0.6,0.0,200,35,35,ok,0,0,0,0,0.7637,0.0,0.0,0.0,1.0
0.4,0.7,-0.1,200,79,79,ok,0,0,0,0,0.6114,0.0,0.0,0.0,1.0
0.6,0.4,0.0,500,9,9,ok,0,0,0,0,1.65,0.0,0.0,0.0,1.0
0.3,0.6,0.0,200,15,15,ok,12427,30,12457,1963,839.3331,0.71768314,0.15758208,0.00240828,239.96414033
0.4,0.4,-0.1,500,30,30,ok,0,0,0,0,3.7657,0.0,0.0,0.0,1.0
0.7,0.8,-0.1,500,55,55,ok,8407,7,8414,2801,1136.9745,0.254884,0.33289755,0.00083195,212.37359994
0.6,0.7,0.1,500,89,89,ok,390,5,395,136,492.7782,0.33535217,0.3443038,0.01265823,28.20326006
0.5,0.7,0.1,200,75,75,ok,25616,8,25624,2554,1507.379,0.64030652,0.09967218,0.00031221,367.93492927
0.3,0.5,0.1,1000,0,0,ok,0,0,0,0,0.4615,0.0,0.0,0.0,1.0
0.3,0.4,0.0,200,18,18,ok,0,0,0,0,1.3451,0.0,0.0,0.0,1.0
0.5,0.5,0.0,1000,87,87,ok,0,0,0,0,5.1741,0.0,0.0,0.0,1.0
0.3,0.5,0.0,1000,77,77,ok,119,23,142,33,215.5547,0.41508579,0.23239437,0.16197183,14.99955797
0.6,0.7,0.0,500,99,99,ok,17774,8,17782,3787,1421.0648,0.3217783,0.21296817,0.00044989,318.15548225
0.5,0.5,0.0,500,77,77,ok,0,0,0,3,19.682,0.0,0.0,0.0,1.0
0.4,0.4,0.0,1000,32,32,ok,0,0,0,0,3.6436,0.0,0.0,0.0,1.0
0.3,0.5,-0.1,200,42,42,ok,0,0,0,0,1.2047,0.0,0.0,0.0,1.0
