alpha,beta,n_ok,n_capped,n_timeout,timeout_frac,timeout_warning,mean_fitness,std_fitness,mean_mei,std_mei,mean_ncf,std_ncf,mean_dissipation,std_dissipation,pareto_front
0.3,0.4,100,0,0,0.0,False,0.08697995,0.15421169,0.24159697,0.55291557,0.1654938,0.31064315,2.55344002,2.32432414,True
0.3,0.5,100,0,0,0.0,False,0.20126755,0.20584034,0.18055347,0.25992165,0.11095577,0.17779793,8.43500931,8.43085621,True
0.3,0.6,100,0,0,0.0,False,0.32929679,0.27422815,0.12146373,0.13175119,0.04633992,0.10456904,52.97673952,77.81855689,True
0.3,0.7,100,45,0,0.0,False,1.06086095,0.72849041,0.03008601,0.03562312,0.00366202,0.00831308,357.34529025,247.19080171,True
0.3,0.8,99,86,1,0.01,False,2.16712565,1.00585145,0.00892362,0.00431812,0.00149921,0.00092746,502.60356496,196.52516385,True
0.4,0.4,100,0,0,0.0,False,0.02086739,0.07331894,0.21056481,0.59983571,0.09996128,0.27314153,1.64616646,1.59002251,False
0.4,0.5,100,0,0,0.0,False,0.14674536,0.18827942,0.23453015,0.43916121,0.05187012,0.12644391,4.49513514,4.76235631,True
0.4,0.6,100,0,0,0.0,False,0.24388784,0.23072475,0.14123887,0.1292278,0.0387249,0.04505827,16.44085765,17.69711212,True
0.4,0.7,100,21,0,0.0,False,0.56526058,0.39577749,0.06996447,0.07000842,0.00489757,0.01044606,250.30364017,234.32044163,True
0.4,0.8,99,77,1,0.01,False,1.42328973,0.77962947,0.01335877,0.00841779,0.0008907,0.00068273,467.34202157,224.08970695,True
0.5,0.4,100,0,0,0.0,False,0.01661246,0.0585517,0.16031349,0.58447004,0.04630556,0.19865179,1.38626813,1.37275948,True
0.5,0.5,100,0,0,0.0,False,0.07588481,0.12302699,0.29165847,0.63723292,0.04062099,0.14911821,2.74881115,2.76157198,True
0.5,0.6,100,0,0,0.0,False,0.18992907,0.20107684,0.19647286,0.21339481,0.02012892,0.02756429,9.31469922,9.90038603,True
0.5,0.7,100,8,0,0.0,False,0.32727662,0.24398176,0.1286052,0.11269671,0.00611387,0.01033812,151.06394817,182.35324288,True
0.5,0.8,100,66,0,0.0,False,0.95502596,0.53954332,0.02588721,0.02659344,0.00053589,0.0005588,437.69551,237.24036297,True
0.6,0.4,100,0,0,0.0,False,0.00124763,0.01247633,0.048,0.4071284,0.01,0.1,1.10025474,0.90479361,True
0.6,0.5,100,0,0,0.0,False,0.05132474,0.10382792,0.19661793,0.4489347,0.00369613,0.0144116,1.77085093,1.56103858,True
0.6,0.6,100,0,0,0.0,False,0.12216598,0.16270146,0.19747995,0.36123411,0.0065937,0.01417868,6.20763332,7.48665367,True
0.6,0.7,100,0,0,0.0,False,0.22264035,0.1903422,0.17267892,0.14960641,0.00520298,0.00714142,44.58950391,58.55120852,True
0.6,0.8,99,51,1,0.01,False,0.58576791,0.37294386,0.03955617,0.04077259,0.00032959,0.00056758,378.14574772,257.22947781,True
0.7,0.4,100,0,0,0.0,False,0.00242822,0.01732849,0.052,0.33829041,0.01,0.1,1.09726107,0.72472759,True
0.7,0.5,100,0,0,0.0,False,0.04047013,0.10945813,0.18286386,0.66781412,0.01252632,0.10185547,1.63376409,1.59267535,True
0.7,0.6,100,0,0,0.0,False,0.11033379,0.17058982,0.26711458,0.91824564,0.00192853,0.00572388,4.09300638,4.85376762,True
0.7,0.7,100,0,0,0.0,False,0.22133876,0.20577035,0.19581859,0.16866108,0.00243874,0.00386803,21.01239652,27.28333165,True
0.7,0.8,100,27,0,0.0,False,0.35892044,0.23952324,0.0902205,0.08993932,0.00033948,0.00087863,288.90849122,243.06060033,True
