alpha,beta,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.4,0.3,139,139,ok,0,0,0,0,0.7637,0.0,0.0,0.0,1.0
0.4,0.5,120,120,ok,104,13,117,40,297.1491,0.24999478,0.34188034,0.11111111,13.725751
0.4,0.5,56,56,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.2,0.5,199,199,ok,0,10,10,4,46.1155,0.0,0.4,1.0,5.00148486
0.7,0.6,109,109,ok,9,0,9,2,37.9329,0.23260872,0.22222222,0.0,2.03510166
0.4,0.7,59,59,ok,1894,25,1919,209,798.5386,0.76758337,0.10891089,0.01302762,66.75884972
0.5,0.5,113,113,ok,8,1,9,8,47.6039,0.15560512,0.88888889,0.11111111,3.49461902
0.5,0.5,96,96,ok,7,1,8,3,28.5912,0.23769985,0.375,0.125,2.3811649
0.7,0.6,2,2,ok,0,0,0,0,0.9127,0.0,0.0,0.0,1.0
0.5,0.7,80,80,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.6,0.7,194,194,ok,1727,7,1734,251,985.1499,0.49943954,0.14475202,0.00403691,63.84125539
0.6,0.3,29,29,ok,0,0,0,0,0.7585,0.0,0.0,0.0,1.0
0.2,0.6,49,49,ok,338,31,369,39,303.149,0.80213178,0.10569106,0.08401084,23.72971888
0.6,0.3,75,75,ok,0,0,0,0,12.4209,0.0,0.0,0.0,1.0
0.6,0.6,49,49,ok,0,0,0,0,2.2286,0.0,0.0,0.0,1.0
0.7,0.5,124,124,ok,0,0,0,0,0.8886,0.0,0.0,0.0,1.0
0.5,0.4,91,91,ok,0,0,0,1,9.4192,0.0,0.0,0.0,1.0
0.7,0.8,52,52,ok,0,0,0,1,2.5399,0.0,0.0,0.0,1.0
0.4,0.6,89,89,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.4,0.5,83,83,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.7,0.4,118,118,ok,0,0,0,0,0.7637,0.0,0.0,0.0,1.0
0.6,0.6,111,111,ok,196,3,199,56,265.4394,0.4733323,0.28140704,0.01507538,17.06193862
0.5,0.7,175,175,ok,0,0,0,0,0.4615,0.0,0.0,0.0,1.0
0.4,0.4,142,142,ok,0,0,0,0,8.6191,0.0,0.0,0.0,1.0
0.4,0.6,110,110,ok,483,24,507,133,636.5777,0.32564151,0.26232742,0.04733728,32.34979079
0.7,0.3,167,167,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.3,0.5,78,78,ok,50,6,56,6,83.4329,0.56536254,0.10714286,0.10714286,6.90462776
0.7,0.6,35,35,ok,0,0,0,0,0.7637,0.0,0.0,0.0,1.0
0.6,0.7,66,66,ok,985,8,993,169,841.2021,0.43529495,0.17019134,0.00805639,45.1837357
0.4,0.4,138,138,ok,0,0,0,0,1.0255,0.0,0.0,0.0,1.0
0.6,0.7,57,57,ok,1092,10,1102,167,848.9052,0.48178379,0.15154265,0.00907441,47.70880557
0.6,0.4,138,138,ok,0,0,0,0,1.0255,0.0,0.0,0.0,1.0
0.5,0.4,13,13,ok,0,0,0,0,1.0594,0.0,0.0,0.0,1.0
0.4,0.6,141,141,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.2,0.6,5,5,ok,10440,78,10518,1190,1042.8302,0.77606338,0.11313938,0.00741586,207.16737756
0.5,0.8,170,170,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.6,0.8,59,59,ok,33929,8,33937,2197,2143.0519,0.68925095,0.0647376,0.00023573,429.60386751
0.7,0.5,159,159,ok,0,0,0,1,10.4594,0.0,0.0,0.0,1.0
0.5,0.3,66,66,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.3,0.8,47,47,capped,56999,78,57077,541,3303.5881,2.69167931,0.00947842,0.00136657,576.68477319
0.2,0.7,22,22,ok,8893,86,8979,830,933.85,1.0239723,0.09243791,0.0095779,183.35644273
0.4,0.5,138,138,ok,0,0,0,0,1.0255,0.0,0.0,0.0,1.0
0.7,0.8,141,141,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.5,0.4,42,42,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.6,0.4,106,106,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.5,0.8,100,100,capped,58090,27,58117,601,3563.9438,2.3251582,0.01034121,0.00046458,583.64150697
0.2,0.3,120,120,ok,1,1,2,0,24.7494,0.04040494,0.0,0.5,1.5
0.2,0.4,98,98,ok,0,0,0,1,4.9347,0.0,0.0,0.0,1.0
0.6,0.3,159,159,ok,0,0,0,0,12.2077,0.0,0.0,0.0,1.0
0.3,0.3,60,60,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.5,0.5,151,151,ok,0,0,0,1,3.1191,0.0,0.0,0.0,1.0
0.4,0.3,29,29,ok,0,0,0,0,0.7585,0.0,0.0,0.0,1.0
0.5,0.5,99,99,ok,72,3,75,28,221.5278,0.25391841,0.37333333,0.04,9.7751719
0.7,0.3,14,14,ok,0,0,0,0,1.1584,0.0,0.0,0.0,1.0
0.5,0.3,191,191,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.4,0.3,161,161,ok,0,0,0,0,6.1783,0.0,0.0,0.0,1.0
0.4,0.5,41,41,ok,0,1,1,3,15.6547,0.0,3.0,1.0,8.0
0.7,0.8,55,55,ok,16150,4,16154,2695,1360.7209,0.42464075,0.16683174,0.00024762,287.0186213
0.7,0.3,28,28,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.6,0.6,87,87,ok,43,0,43,13,91.226,0.41712974,0.30232558,0.0,6.15138348
0.7,0.5,9,9,ok,0,0,0,0,1.65,0.0,0.0,0.0,1.0
0.5,0.3,71,71,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.3,0.5,138,138,ok,0,0,0,0,1.0255,0.0,0.0,0.0,1.0
0.4,0.8,190,190,capped,55337,28,55365,670,3483.3281,2.06314855,0.01210151,0.00050573,566.07605449
0.6,0.4,117,117,ok,0,0,0,1,4.4921,0.0,0.0,0.0,1.0
0.7,0.7,5,5,ok,0,0,0,0,1.513,0.0,0.0,0.0,1.0
0.5,0.8,117,117,capped,53398,10,53408,2363,3242.3771,0.66864724,0.04424431,0.00018724,570.02674037
0.3,0.7,25,25,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.7,0.7,194,194,ok,366,0,366,123,427.4641,0.38395164,0.33606557,0.0,26.30809639
0.6,0.7,49,49,ok,312,6,318,115,420.1095,0.34542486,0.36163522,0.01886792,24.87354431
0.4,0.3,142,142,ok,0,0,0,0,5.509,0.0,0.0,0.0,1.0
0.3,0.5,84,84,ok,150,38,188,50,354.6767,0.28194689,0.26595745,0.20212766,19.21981447
0.5,0.3,113,113,ok,0,0,0,1,4.2776,0.0,0.0,0.0,1.0
0.6,0.4,55,55,ok,0,0,0,1,6.7951,0.0,0.0,0.0,1.0
0.4,0.3,57,57,ok,0,0,0,0,0.748,0.0,0.0,0.0,1.0
0.5,0.8,197,197,ok,0,0,0,0,1.5169,0.0,0.0,0.0,1.0
0.5,0.3,127,127,ok,0,0,0,0,13.0581,0.0,0.0,0.0,1.0
0.5,0.4,178,178,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.4,0.4,77,77,ok,0,0,0,1,15.0652,0.0,0.0,0.0,1.0
0.6,0.8,21,21,capped,54665,32,54697,2397,3390.4713,0.64569993,0.04382324,0.00058504,579.15867793
0.6,0.8,25,25,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.2,0.3,169,169,ok,0,2,2,1,28.8189,0.0,0.5,1.0,3.0
0.4,0.7,114,114,ok,5045,44,5089,741,957.315,0.62662872,0.14560817,0.0086461,131.56412398
0.4,0.7,40,40,capped,55764,63,55827,1697,2966.1143,1.04620782,0.03039748,0.00112849,579.87145016
0.6,0.4,196,196,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.4,0.4,15,15,ok,1,2,3,1,31.3861,0.03154575,0.33333333,0.66666667,2.22222222
0.4,0.3,91,91,ok,0,0,0,1,5.7375,0.0,0.0,0.0,1.0
0.3,0.3,186,186,ok,0,1,1,3,14.4395,0.0,3.0,1.0,8.0
0.7,0.5,147,147,ok,0,0,0,0,0.748,0.0,0.0,0.0,1.0
0.4,0.6,103,103,ok,289,21,310,92,475.4915,0.31655842,0.29677419,0.06774194,24.40690527
0.3,0.5,144,144,ok,14,0,14,12,46.9518,0.26623057,0.85714286,0.0,4.15149893
0.4,0.4,76,76,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.7,0.5,139,139,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.2,0.4,172,172,ok,0,0,0,0,2.0206,0.0,0.0,0.0,1.0
0.2,0.6,112,112,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.2,0.6,75,75,ok,85,11,96,11,86.1693,0.88867617,0.11458333,0.11458333,10.02336407
0.6,0.6,104,104,ok,95,0,95,43,265.6175,0.25010989,0.45263158,0.0,11.63890558
0.5,0.4,101,101,ok,4,0,4,6,51.0906,0.07386069,1.5,0.0,2.5
0.6,0.3,36,36,ok,0,0,0,0,1.1584,0.0,0.0,0.0,1.0
0.7,0.8,10,10,capped,58073,19,58092,2839,3686.0827,0.53605531,0.04887076,0.00032707,605.6417566
0.5,0.8,32,32,capped,54716,23,54739,1367,3279.2485,1.13739128,0.02497305,0.00042018,568.89710418
0.3,0.4,87,87,ok,0,2,2,1,15.369,0.0,0.5,1.0,3.0
0.6,0.5,165,165,ok,0,0,0,0,0.748,0.0,0.0,0.0,1.0
0.7,0.8,107,107,ok,36559,4,36563,3487,2458.5788,0.41455179,0.09536964,0.0001094,464.41939607
0.4,0.5,156,156,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.5,0.7,68,68,ok,0,0,0,0,0.8886,0.0,0.0,0.0,1.0
0.2,0.8,35,35,capped,56895,278,57173,449,3696.0628,2.80389932,0.00785336,0.00486244,578.41410202
0.3,0.5,140,140,ok,0,0,0,0,2.0861,0.0,0.0,0.0,1.0
