name,treatment,NCF_exp,hypoxia_proxy,beta_proxy,ki67_gradient,condensing_proxy,warburg_adaptation,R_eff,rank,dist,alpha,beta,gamma,n_a,NCF_sim,MEI,Fitness,Dissipation,C_est,R_sim,b_gamma,delta_NCF,MEI_level,strategy
1418,Treated,0.077609,0.1849,1.2843,0.9357,0.6297,1.1656,23024.0,1,0.47588,0.5,0.4,-0.1,1000,0.03077,0.09364,0.00832,1.3685,0.3462,0.9509,0.36,0.04684,LOW,Explosive
1418,Treated,0.077609,0.1849,1.2843,0.9357,0.6297,1.1656,23024.0,2,0.49353,0.5,0.4,-0.1,750,0.03077,0.09364,0.00832,1.3685,0.3462,0.9509,0.36,0.04684,LOW,Explosive
1418,Treated,0.077609,0.1849,1.2843,0.9357,0.6297,1.1656,23024.0,3,0.51284,0.5,0.5,0.0,1000,0.02585,0.2796,0.06722,2.5478,0.3388,1.0177,0.5,0.05176,HIGH,Invasive
9A2C,Treated,0.072076,0.2315,1.5968,1.073,1.1463,1.1708,20302.0,1,0.39486,0.5,0.5,0.0,1000,0.02585,0.2796,0.06722,2.5478,0.3388,1.0177,0.5,0.04623,HIGH,Invasive
9A2C,Treated,0.072076,0.2315,1.5968,1.073,1.1463,1.1708,20302.0,2,0.41315,0.4,0.6,0.1,500,0.03872,0.14124,0.24389,4.2736,0.3581,1.5529,0.66,0.03335,LOW,Invasive
9A2C,Treated,0.072076,0.2315,1.5968,1.073,1.1463,1.1708,20302.0,3,0.41887,0.5,0.5,0.0,750,0.02585,0.2796,0.06722,2.5478,0.3388,1.0177,0.5,0.04623,HIGH,Invasive
A98C,Control,0.037975,0.2446,1.1708,0.9516,1.4907,1.11,21692.3,1,0.50486,0.6,0.4,0.2,750,0.0,0.02,0.00398,0.7755,0.3,0.8396,0.48,0.03798,LOW,Explosive
A98C,Control,0.037975,0.2446,1.1708,0.9516,1.4907,1.11,21692.3,2,0.51384,0.6,0.4,0.2,1000,0.0,0.02,0.00398,0.7755,0.3,0.8396,0.48,0.03798,LOW,Explosive
A98C,Control,0.037975,0.2446,1.1708,0.9516,1.4907,1.11,21692.3,3,0.53368,0.6,0.4,0.2,500,0.0,0.02,0.00398,0.7755,0.3,0.8396,0.48,0.03798,LOW,Explosive
AD6C,Treated,0.168922,0.3517,1.3785,1.0682,1.0822,1.0365,13539.1,1,0.73927,0.3,0.5,-0.1,200,0.10359,0.17887,0.21951,3.7491,0.4554,1.3391,0.45,0.06533,HIGH,Necrotic
