folder,well_col,name,treatment,n_total,n_necrotic,n_transition,n_live,NCF,transition_fraction,live_fraction,viable_fraction,hypoxia_proxy,alpha_structural_proxy,R_eff,Dissipation,dapi_live,dapi_transition,dapi_necrotic,ch488_live,ch488_transition,ch488_necrotic,ch546_live,ch546_transition,ch546_necrotic,ki67_gradient,beta_proxy,warburg_contrast,warburg_adaptation,condensing_proxy
2026.05.26 1418_9A2C_A98C_AD6C_20x,1,1418,Treated,1148662,89147,195878,863637,0.077609,0.170527,0.751863,0.922391,0.184875,0.455115,23024.036669,21.647652,8352.612319,9323.760702,7118.949378,6373.561861,6811.306197,4962.491224,6892.390555,8033.921642,7084.689391,0.935733,1.284347,0.972857,1.165622,0.629662
2026.05.26 1418_9A2C_A98C_AD6C_20x,2,9A2C,Treated,812388,58554,174534,579300,0.072076,0.214841,0.713083,0.927924,0.231528,0.335488,20302.031316,21.266729,7778.945578,10751.869150,9336.010721,6456.865409,6017.715765,4043.631266,10742.756497,12577.212520,10287.387707,1.072976,1.596799,1.044265,1.170762,1.146294
2026.05.26 1418_9A2C_A98C_AD6C_20x,3,A98C,Control,1511351,57394,355571,1098386,0.037975,0.235267,0.726758,0.962025,0.244554,0.161414,21692.304870,20.727771,6529.809929,7452.658478,6550.108529,6532.136349,6864.717515,5579.341398,9730.703001,10800.774827,10369.627842,0.951552,1.170772,0.938385,1.109969,1.490728
2026.05.26 1418_9A2C_A98C_AD6C_20x,4,AD6C,Treated,319419,53957,93375,172087,0.168922,0.292328,0.538750,0.831078,0.351745,0.577853,13539.053491,22.240696,7162.888107,8159.272354,7352.897703,5699.654689,5335.891320,4134.766948,9741.264770,10096.870815,9248.050016,1.068173,1.378471,1.053332,1.036505,1.082150
2026.05.26 A3FF_9286_B778_BE6F_20x,1,A3FF,Control,786739,12245,166063,608431,0.015564,0.211078,0.773358,0.984436,0.214415,0.073737,16708.022560,19.749971,11346.040474,10237.739596,10546.778629,12625.237009,7678.754926,6139.660662,14336.947951,12985.276764,11310.786521,1.644178,2.056341,1.267547,0.905721,1.406072
2026.05.26 A3FF_9286_B778_BE6F_20x,2,9286,Treated,800664,29550,221850,549264,0.036907,0.277083,0.686011,0.963093,0.287701,0.133198,24108.146256,20.925413,9099.801005,11065.050194,9065.399667,6778.320422,5939.425615,4293.333118,11422.564167,10699.935657,8511.298348,1.141242,1.578801,1.342047,0.936737,0.935022
2026.05.26 A3FF_9286_B778_BE6F_20x,3,B778,Control,780127,38594,280438,461095,0.049471,0.359477,0.591051,0.950529,0.378187,0.137620,22283.359779,21.013767,10809.734060,10414.127883,6809.606170,7067.027132,5698.533336,3961.510417,10163.608600,10011.842174,7701.585350,1.240148,1.783922,1.319677,0.985068,0.614688
2026.05.26 A3FF_9286_B778_BE6F_20x,4,BE6F,Control,729346,20246,198551,510549,0.027759,0.272232,0.700009,0.972241,0.280004,0.101969,20569.630456,20.414525,14439.877201,12656.364874,7205.367772,6758.659308,5553.404305,3726.264906,10491.660901,10478.336210,7569.906010,1.217030,1.813789,1.385970,0.998730,0.340077
2026.05.27 AA11_A9BA_A8A0_20x,3,A9BA,Control,310082,25559,167983,116540,0.082427,0.541737,0.375836,0.917573,0.590402,0.152152,21182.484236,21.563951,15254.828848,14147.702973,10897.019259,6161.206761,5788.380767,4218.570395,8677.357889,8778.247513,8006.002598,1.064409,1.460496,1.083856,1.011627,0.229741
2026.05.27 B663_143F_20x,1,B663,Treated,448406,26858,153614,267934,0.059897,0.342578,0.597525,0.940103,0.364405,0.174841,14312.373500,20.284046,12159.538402,11673.711099,8122.596017,7546.814010,6793.483097,4405.922093,11471.825153,13165.266208,11459.448656,1.110890,1.712880,1.001080,1.147617,0.585547
2026.05.27 B663_143F_20x,2,143F,Treated,794645,30220,145262,619163,0.038030,0.182801,0.779169,0.961970,0.190028,0.208038,21071.698869,20.668593,7721.665377,10220.694671,7092.469205,5658.187509,5105.029625,2907.985117,9302.741511,10172.730673,8219.672326,1.108355,1.945742,1.131765,1.093520,0.882808
2026.05.28 A8A0_A11_REP_20x,1,A8A0,Treated,817386,42279,310989,464118,0.051725,0.380468,0.567808,0.948275,0.401221,0.135950,21161.784254,20.950254,8280.765186,9998.522548,9880.758176,6367.101198,6216.408521,5457.306112,8277.962105,9181.617328,8703.841067,1.024241,1.166711,0.951070,1.109164,0.768642
2026.05.28 A8A0_A11_REP_20x,2,AA11,Control,657490,52360,264133,340997,0.079636,0.401729,0.518635,0.920364,0.436490,0.198233,22217.068235,21.611328,6941.311669,7761.220053,6144.390053,5924.032385,5607.331097,3569.162808,10839.606433,12215.123851,11212.059353,1.056480,1.659782,0.966781,1.126897,1.332747
