name,treatment,NCF_exp,hypoxia_proxy,beta_proxy,ki67_gradient,condensing_proxy,warburg_adaptation,R_eff,rank,dist,alpha,beta,gamma,n_a,NCF_sim,MEI,Fitness,Dissipation,C_est,R_sim,b_gamma,delta_NCF,MEI_level,strategy
1418,Treated,0.048053,0.1294,1.4291,1.0091,0.6104,1.1306,23023.6,1,0.5058,0.5,0.5,0.0,1000,0.02585,0.2796,0.06722,2.5478,0.3388,1.0177,0.5,0.02221,HIGH,Invasive
1418,Treated,0.048053,0.1294,1.4291,1.0091,0.6104,1.1306,23023.6,2,0.52176,0.6,0.5,-0.1,1000,0.00579,0.14618,0.03296,1.545,0.3087,0.9421,0.45,0.04226,LOW,Invasive
1418,Treated,0.048053,0.1294,1.4291,1.0091,0.6104,1.1306,23023.6,3,0.52433,0.7,0.5,-0.2,1000,0.012,0.14109,0.01632,1.6898,0.318,0.9895,0.4,0.03605,LOW,Invasive
9A2C,Treated,0.033126,0.1753,1.6679,1.2156,1.0432,1.0903,20301.9,1,0.29318,0.4,0.6,0.1,500,0.03872,0.14124,0.24389,4.2736,0.3581,1.5529,0.66,-0.0056,LOW,Invasive
9A2C,Treated,0.033126,0.1753,1.6679,1.2156,1.0432,1.0903,20301.9,2,0.3359,0.3,0.6,0.1,500,0.04634,0.12146,0.3293,5.1725,0.3695,1.7537,0.66,-0.01321,LOW,Invasive
9A2C,Treated,0.033126,0.1753,1.6679,1.2156,1.0432,1.0903,20301.9,3,0.34936,0.4,0.6,0.1,350,0.03016,0.13344,0.2884,4.3036,0.3452,1.5829,0.66,0.00297,LOW,Invasive
A98C,Control,0.014839,0.1431,1.2527,0.9875,1.4241,1.1024,21693.1,1,0.5431,0.6,0.4,0.2,1000,0.0,0.02,0.00398,0.7755,0.3,0.8396,0.48,0.01484,LOW,Explosive
A98C,Control,0.014839,0.1431,1.2527,0.9875,1.4241,1.1024,21693.1,2,0.54871,0.6,0.4,0.2,750,0.0,0.02,0.00398,0.7755,0.3,0.8396,0.48,0.01484,LOW,Explosive
A98C,Control,0.014839,0.1431,1.2527,0.9875,1.4241,1.1024,21693.1,3,0.57732,0.6,0.5,0.1,1000,0.0037,0.19662,0.05132,1.8807,0.3055,0.9721,0.55,0.01114,HIGH,Invasive
AD6C,Treated,0.103466,0.2728,1.4826,1.1389,0.9877,1.0223,13536.0,1,0.73229,0.3,0.5,-0.1,200,0.10359,0.17887,0.21951,3.7491,0.4554,1.3391,0.45,-0.00012,HIGH,Necrotic
