folder,well_col,name,treatment,n_total,n_necrotic,n_transition,n_live,NCF,transition_fraction,live_fraction,viable_fraction,hypoxia_proxy,alpha_structural_proxy,R_eff,Dissipation,dapi_live,dapi_transition,dapi_necrotic,ch488_live,ch488_transition,ch488_necrotic,ch546_live,ch546_transition,ch546_necrotic,ki67_gradient,beta_proxy,warburg_contrast,warburg_adaptation,condensing_proxy
2026.05.26 1418_9A2C_A98C_AD6C_20x,1,1418,Treated,1148715,55199,141508,952008,0.048053,0.123188,0.828759,0.951947,0.129406,0.390077,23023.627352,21.053864,8454.549444,8987.749664,6412.073196,6362.457451,6305.370340,4452.030279,6857.156299,7752.651824,6520.443420,1.009054,1.429114,1.051640,1.130593,0.610363
2026.05.26 1418_9A2C_A98C_AD6C_20x,2,9A2C,Treated,812324,26909,137673,647742,0.033126,0.169480,0.797394,0.966874,0.175287,0.195456,20301.896628,20.494057,8110.136481,10413.716130,9000.550015,6377.437570,5246.467293,3823.685160,10759.603657,11731.607168,9442.449672,1.215568,1.667877,1.139493,1.090338,1.043245
2026.05.26 1418_9A2C_A98C_AD6C_20x,3,A98C,Control,1511224,22425,212982,1275817,0.014839,0.140933,0.844228,0.985161,0.143056,0.105291,21693.087157,20.265825,6657.175079,7317.262818,6486.871266,6510.105399,6592.733953,5196.944762,9694.864942,10688.031934,10132.774794,0.987467,1.252679,0.956783,1.102443,1.424131
2026.05.26 1418_9A2C_A98C_AD6C_20x,4,AD6C,Treated,319312,33038,78092,208182,0.103466,0.244563,0.651970,0.896534,0.272788,0.423065,13536.019880,20.994790,7331.925731,8105.284968,6998.609083,5544.770282,4868.584110,3739.811042,9575.972545,9789.762473,8564.492233,1.138888,1.482634,1.118102,1.022326,0.987712
2026.05.26 A3FF_9286_B778_BE6F_20x,1,A3FF,Control,786640,12336,102120,672184,0.015682,0.129818,0.854500,0.984318,0.131886,0.120799,16707.754992,19.752226,11296.550657,9881.269433,10539.518979,12155.794479,6949.544124,6076.921201,14073.943252,12218.150818,11082.760829,1.749150,2.000321,1.269895,0.868140,1.340625
2026.05.26 A3FF_9286_B778_BE6F_20x,2,9286,Treated,800580,29526,138824,632230,0.036881,0.173404,0.789715,0.963119,0.180044,0.212687,24108.986004,20.924959,9353.727224,11089.027424,9061.591347,6647.494296,5404.402219,4228.042973,11146.892059,10013.803237,8229.357792,1.230015,1.572239,1.354528,0.898349,0.846920
2026.05.26 A3FF_9286_B778_BE6F_20x,3,B778,Control,779980,38577,182446,558957,0.049459,0.233911,0.716630,0.950541,0.246082,0.211443,22284.506973,21.013625,10949.204523,9776.742762,6812.629347,6815.854746,5238.913825,3896.548219,10045.503049,9349.903793,7483.370640,1.301005,1.749203,1.342377,0.930755,0.571119
2026.05.26 A3FF_9286_B778_BE6F_20x,4,BE6F,Control,729260,20210,125776,583274,0.027713,0.172471,0.799816,0.972287,0.177387,0.160682,20569.993203,20.413646,14385.010786,11883.716679,7213.758741,6617.696806,4847.608878,3679.520439,10346.643662,9787.748030,7389.552169,1.365147,1.798522,1.400172,0.945983,0.330892
2026.05.27 AA11_A9BA_A8A0_20x,3,A9BA,Control,309999,25557,117783,166659,0.082442,0.379946,0.537611,0.917558,0.414084,0.216984,21182.273157,21.564240,15313.357165,13601.398888,10893.797371,6179.558603,5439.020832,4165.936717,8661.689975,8429.095298,7829.835098,1.136153,1.483354,1.106242,0.973147,0.228254
2026.05.27 B663_143F_20x,1,B663,Treated,448317,26879,100284,321154,0.059955,0.223690,0.716355,0.940045,0.237957,0.268029,14312.707130,20.285220,12238.067457,11175.065679,8117.036748,7443.194855,6168.960812,4321.891584,11571.105656,12823.432885,11183.382296,1.206556,1.722208,1.034670,1.108229,0.575054
2026.05.27 B663_143F_20x,2,143F,Treated,794569,30232,92293,672044,0.038048,0.116155,0.845797,0.961952,0.120749,0.327565,21071.128975,20.668910,7950.823433,9989.138666,7095.403017,5525.670401,4452.903999,2836.582761,9154.148284,9627.717258,7938.480283,1.240914,1.948003,1.153136,1.051733,0.800163
2026.05.28 A8A0_A11_REP_20x,1,A8A0,Treated,817153,42292,192713,582148,0.051755,0.235835,0.712410,0.948245,0.248707,0.219456,21162.378612,20.950924,8543.360326,10258.780583,9881.971433,6302.762826,6089.333242,5406.571107,8297.635550,9095.746036,8551.769444,1.035050,1.165760,0.970283,1.096185,0.716519
2026.05.28 A8A0_A11_REP_20x,2,AA11,Control,657273,52326,172247,432700,0.079611,0.262063,0.658326,0.920389,0.284731,0.303785,22217.079798,21.610820,7070.304842,7874.067001,6145.338190,5855.416482,5267.539276,3510.290846,10827.949443,12165.352718,10972.950738,1.111604,1.668072,0.986786,1.123514,1.268317
