alpha,beta,gamma,n_a,n_ok,n_capped,n_timeout,timeout_frac,timeout_warning,mean_fitness,std_fitness,mean_mei,std_mei,mean_ncf,std_ncf,mean_dissipation,std_dissipation,pareto_front
0.3,0.4,-0.2,200.0,100,0,0,0.0,False,0.05054903,0.10613817,0.14509736,0.3398086,0.10770956,0.24196989,1.97482637,2.63775685,True
0.3,0.4,-0.2,350.0,100,0,0,0.0,False,0.05054903,0.10613817,0.14509736,0.3398086,0.10770956,0.24196989,1.97482637,2.63775685,True
0.3,0.4,-0.2,500.0,100,0,0,0.0,False,0.05054903,0.10613817,0.14509736,0.3398086,0.10770956,0.24196989,1.97482637,2.63775685,True
0.3,0.4,-0.2,750.0,100,0,0,0.0,False,0.05054903,0.10613817,0.14509736,0.3398086,0.10770956,0.24196989,1.97482637,2.63775685,True
0.3,0.4,-0.2,1000.0,100,0,0,0.0,False,0.05054903,0.10613817,0.14509736,0.3398086,0.10770956,0.24196989,1.97482637,2.63775685,True
0.3,0.4,-0.1,200.0,100,0,0,0.0,False,0.05965282,0.11476177,0.23023868,0.48468721,0.15040776,0.28489968,2.65087521,3.56260295,True
0.3,0.4,-0.1,350.0,100,0,0,0.0,False,0.05965282,0.11476177,0.23023868,0.48468721,0.15040776,0.28489968,2.65087521,3.56260295,True
0.3,0.4,-0.1,500.0,100,0,0,0.0,False,0.05965282,0.11476177,0.23023868,0.48468721,0.15040776,0.28489968,2.65087521,3.56260295,True
0.3,0.4,-0.1,750.0,100,0,0,0.0,False,0.05965282,0.11476177,0.23023868,0.48468721,0.15040776,0.28489968,2.65087521,3.56260295,True
0.3,0.4,-0.1,1000.0,100,0,0,0.0,False,0.05965282,0.11476177,0.23023868,0.48468721,0.15040776,0.28489968,2.65087521,3.56260295,True
0.3,0.4,0.0,200.0,100,0,0,0.0,False,0.0689384,0.13072759,0.25579294,0.48095519,0.18354158,0.31124927,2.86214905,3.60475044,False
0.3,0.4,0.0,350.0,100,0,0,0.0,False,0.0689384,0.13072759,0.25579294,0.48095519,0.18354158,0.31124927,2.86214905,3.60475044,False
0.3,0.4,0.0,500.0,100,0,0,0.0,False,0.0689384,0.13072759,0.25579294,0.48095519,0.18354158,0.31124927,2.86214905,3.60475044,False
0.3,0.4,0.0,750.0,100,0,0,0.0,False,0.0689384,0.13072759,0.25579294,0.48095519,0.18354158,0.31124927,2.86214905,3.60475044,False
0.3,0.4,0.0,1000.0,100,0,0,0.0,False,0.0689384,0.13072759,0.25579294,0.48095519,0.18354158,0.31124927,2.86214905,3.60475044,False
0.3,0.4,0.1,200.0,100,0,0,0.0,False,0.08697995,0.15421169,0.24159697,0.55291557,0.1654938,0.31064315,2.77133109,3.99160373,False
