alpha,beta,gamma,n_a,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.3,0.4,-0.2,200.0,0,0,ok,0,0,0,0,0.4615,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,1,1,ok,5,3,8,7,26.199,0.17836143,0.875,0.375,6.88735139
0.3,0.4,-0.2,200.0,2,2,ok,17,0,17,6,34.6222,0.46322125,0.35294118,0.0,3.49831871
0.3,0.4,-0.2,200.0,3,3,ok,0,0,0,0,4.5926,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,4,4,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,5,5,ok,0,0,0,0,0.6039,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,6,6,ok,7,3,10,3,60.3404,0.11262958,0.3,0.3,3.33025766
0.3,0.4,-0.2,200.0,7,7,ok,0,0,0,1,16.5322,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,8,8,ok,0,0,0,0,1.1584,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,9,9,ok,0,0,0,0,1.6363,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,10,10,ok,15,8,23,12,80.0663,0.16727209,0.52173913,0.34782609,6.87755745
0.3,0.4,-0.2,200.0,11,11,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,12,12,ok,0,0,0,1,11.7448,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,13,13,ok,0,0,0,0,1.0594,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,14,14,ok,0,0,0,0,3.4358,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,15,15,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,16,16,ok,0,0,0,0,1.2059,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,17,17,ok,0,0,0,0,2.5033,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,18,18,ok,0,0,0,0,1.3451,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,19,19,ok,0,0,0,0,4.0971,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,20,20,ok,18,8,26,10,105.9385,0.1544635,0.38461538,0.30769231,5.64377689
0.3,0.4,-0.2,200.0,21,21,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,22,22,ok,15,3,18,7,43.2629,0.32403464,0.38888889,0.16666667,4.44117921
0.3,0.4,-0.2,200.0,23,23,ok,0,4,4,3,23.0673,0.0,0.75,1.0,6.58489822
